themeID,themeName,themeDescription,themeSource,themeBaseDate,isActive,isMain,insertTime,updateTime
969,"新药",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
973,"移动",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
974,"医疗健康",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
982,"石油",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
986,"核能核电",,1,"2016-01-17",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
988,"参股",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
990,"新产业",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
995,"三中",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
998,"体育",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1003,"改革红利",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1005,"大气污染治理",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1010,"转型",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1011,"燃气","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1012,"船舶",,1,"2016-01-22",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1019,"国家安全",,1,"2016-01-20",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1025,"农林牧渔","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1028,"安全",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1029,"国安全",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1032,"上海国资改革",,1,"2015-01-13",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1040,"大安全",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1042,"改革预期",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1046,"通航",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1047,"玩具",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1049,"航空航天",,1,"2015-12-27",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1050,"航空",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:44"
1051,"轨交",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1054,"申万",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1056,"银行改革",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1066,"核动力",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1079,"国企",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1082,"安全生产",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1083,"雷达",,1,"2016-01-17",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1099,"智能驾驶",,1,"2016-01-17",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1102,"中国高铁",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1106,"4G通信",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1110,"聚宝盆",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1113,"武器装备",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1114,"教育改革",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1115,"高送转主题",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1120,"国防",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1121,"房地产","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1123,"高端装备",,1,"2015-06-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1125,"医院",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1132,"核能",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1159,"成长",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1162,"高增长",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1164,"绿色",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1170,"上海本地重组",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1173,"城镇",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1174,"创新金融",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1175,"防治",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1176,"金融服务","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:45"
1203,"流感",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1207,"并购重组",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1210,"春运",,1,"2015-05-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1211,"消费类",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1214,"军工重组",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1215,"网络",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1216,"多元金融","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1218,"导航",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1219,"年报题材",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
1225,"视频",,2,"2015-03-25",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:46"
